,评论,点赞数,用户名,评论时间和ip地址,预测值,评价类别,ip地址,评论时间
516,猴哥，我是一个打工仔，现在要干装修了，没有车干不了，能帮忙找个三万内的车吗。,4,傻乎乎.,2天前·河南,0.02019916443785974,无意向,河南,2023-05-03 22:22:11
287,5天前·四川,2,雍王爷,5天前·四川,0.2586695333751592,无意向,四川,2023-04-30 22:22:11
517,多少钱,1,用户9604896900177,2天前·河南,0.2991169977924947,无意向,河南,2023-05-03 22:22:11
285,5天前·四川,12,比亚迪那么赚钱，给员工工资很低，我们要多支持比亚迪,5天前·四川,0.2586695333751592,无意向,四川,2023-04-30 22:22:11
284,这车估计得2万多吧,5,戒掉了你,5天前·四川,0.2985823791577954,无意向,四川,2023-04-30 22:22:11
519,猴哥，虎哥，八戒，三大说车博主一起发布了沃尔沃ex90，沃尔沃这是下血本了,1,李主任,2天前·江苏,0.11868874469618773,无意向,江苏,2023-05-03 22:22:11
248,再大的车停你边上也不显大,7,因、果,5天前·山东,0.3822397509639496,无意向,山东,2023-04-30 22:22:11
306,这车真,2,大新,5天前·北京,0.48717661382026956,无意向,北京,2023-04-30 22:22:11
245,我已经不相信沃尔沃的刹车系统了,14,前程似锦,5天前·山东,0.19310138648519837,无意向,山东,2023-04-30 22:22:11
242,10万块可以考虑,11,扬帆起航,5天前·山西,0.3589548140823009,无意向,山西,2023-04-30 22:22:11
205,咋感觉这个车比XC90小呢,7,MR.D,5天前·新疆,0.481375333936767,无意向,新疆,2023-04-30 22:22:11
203,换一个标，就是星越L,23,汇家厨房,5天前·新疆,0.09656357592507381,无意向,新疆,2023-04-30 22:22:11
202,以前有人总问百公里油耗多少，每公里达到几毛钱？现在有没有人问百公里多少度电，每公里几毛钱,5,小马哥回族,5天前·新疆,0.008665981076739993,无意向,新疆,2023-04-30 22:22:11
564,这车伤不起，太高级了,0,面币思过.,1天前·湖北,0.2972945928312052,无意向,湖北,2023-05-04 22:22:11
566,还没上市！,1,得胜的羔羊,1天前·湖北,0.45643754976203943,无意向,湖北,2023-05-04 22:22:11
198,宝马3x电动的落地30都不用 卖的都不好 沃尔沃也来吹牛 虽然我挺喜欢沃尔沃的,2,坦克,5天前·江苏,0.43741221185770374,无意向,江苏,2023-04-30 22:22:11
197,十万左右我可以考虑弄一台,2,漂泊,5天前·江苏,0.36606827422102595,无意向,江苏,2023-04-30 22:22:11
567,多少钱啊？,0,得胜的羔羊,1天前·湖北,0.2991169977924947,无意向,湖北,2023-05-04 22:22:11
562,维修这个灯多少钱？,1,仙桃L+童装店,1天前·湖北,0.041295014291902965,无意向,湖北,2023-05-04 22:22:11
195,这车多少钱,2,杏林居,5天前·江苏,0.26405430624319237,无意向,江苏,2023-04-30 22:22:11
193,直接说价格.高于20万不考虑,15,南瓜一枚,5天前·江苏,0.2518091682354545,无意向,江苏,2023-04-30 22:22:11
569,有没有懂车的哥 30w选啥车,0,七友,1天前·浙江,0.4959563478229697,无意向,浙江,2023-05-04 22:22:11
191,没钱。,6,宿命，是天注定,5天前·江苏,0.17385233707087466,无意向,江苏,2023-04-30 22:22:11
189,终极小腾直接开箱撕膜,1,顾十二,5天前·江苏,0.49876806036803256,无意向,江苏,2023-04-30 22:22:11
186,眨眼只认这个,119,Alu,5天前·江苏,0.40662480413682833,无意向,江苏,2023-04-30 22:22:11
185,是不是每个车评主播都要过一遍这个车？,6,向往~生活,5天前·江西,0.3323721750060392,无意向,江西,2023-04-30 22:22:11
573,1天前·浙江,0,缘缘,1天前·浙江,0.4786488282482958,无意向,浙江,2023-05-04 22:22:11
183,他是我听到介绍的最模糊的一个,2,合欢.,5天前·河北,0.3990526758944839,无意向,河北,2023-04-30 22:22:11
568,眨眼灯没有任何意义。,0,狂人墨客,1天前·海南,0.33036411518802444,无意向,海南,2023-05-04 22:22:11
208,沃尔沃有保姆车吗 如果有安全性应该是最好的,2,哦豁仔,5天前·广西,0.36618811401774676,无意向,广西,2023-04-30 22:22:11
209,最不喜欢就是沃尔沃的尾灯设计难看,2,认真你就输楽,5天前·广西,0.4570861631774389,无意向,广西,2023-04-30 22:22:11
211,你们是排队进去拍车的么,2,撸炉掳鹿卤小鹿,5天前·广西,0.04231566261027875,无意向,广西,2023-04-30 22:22:11
239,要搞就搞成真正的,2,??.??吴哥??,5天前·广东,0.07204719306729057,无意向,广东,2023-04-30 22:22:11
238,反正船机我还是始终相信油的,2,海岛二牛,5天前·广东,0.32591153935161743,无意向,广东,2023-04-30 22:22:11
237,同一个场景，这些人排队介绍，看腻了,2,打哈欠的猫娃子,5天前·广东,0.05861856265138343,无意向,广东,2023-04-30 22:22:11
544,这！白己看不到啊！,1,Kjun,21小时前·广东,0.4054856661638422,无意向,广东,2023-05-05 01:22:11
545,21小时前·云南,1,小蜜蜂,21小时前·云南,0.49960444038332297,无意向,云南,2023-05-05 01:22:11
234,是4S店的常客！真的！,2,凡事靠自己,5天前·广东,0.1664879826439577,无意向,广东,2023-04-30 22:22:11
233,牛哥说的比较专业。有技术性,2,朴草,5天前·广东,0.41338408277645977,无意向,广东,2023-04-30 22:22:11
229,虎哥比较早说这车,2,小白精选好物,5天前·广东,0.32322946670243957,无意向,广东,2023-04-30 22:22:11
550,你要是第二排这样坐几个小时算你厉害,0,影子的天空,1小时前·内蒙古,0.24656295704263875,无意向,内蒙古,2023-05-05 21:22:11
226,不看车标以为是吉利,2,劲歌仔,5天前·广东,0.3784376438864724,无意向,广东,2023-04-30 22:22:11
225,高槁没买,2,甜甜优选&,5天前·广东,0.31490235675761036,无意向,广东,2023-04-30 22:22:11
224,虎哥拍完猴哥拍，猴哥拍完小刚，小刚拍完学好姐拍，学好姐拍完，八戒拍，八戒拍完。。。。。。有请下一位,2,不快乐的肥宅丶,5天前·广东,0.14499041262891688,无意向,广东,2023-04-30 22:22:11
223,钢筋也是环保材质的,2,Empty.,5天前·广东,0.17085190761678426,无意向,广东,2023-04-30 22:22:11
551,居然没拉黑你 再见,1,陳rons,1天前·辽宁,0.32545039882583526,无意向,辽宁,2023-05-04 22:22:11
552,富婆包养,1,110a,1天前·辽宁,0.4737672181921908,无意向,辽宁,2023-05-04 22:22:11
554,这7坐车太矮太小了，跟你对比很明显车小了一号,2,小熊007,1天前·辽宁,0.14176252431616765,无意向,辽宁,2023-05-04 22:22:11
556,有油不买电,1,无聊的猫(^???^),1天前·辽宁,0.20739558384879442,无意向,辽宁,2023-05-04 22:22:11
434,宝妈一枚，不想用对健康有威胁的隔音材质,2,年年有今朝1/5/0,3天前·江西,0.25485109423798913,无意向,江西,2023-05-02 22:22:11
214,刚刷虎哥，又刷猴哥,0,清枫里,5天前·广东,0.09868963572865641,无意向,广东,2023-04-30 22:22:11
243,沃尔沃这波广告，基本上把抖音上所有的汽车博主都覆盖了,3,柴李成粥,5天前·山西,0.2366012261300101,无意向,山西,2023-04-30 22:22:11
506,发动机和底盘，剩下的才是坑,0,喜来乐土耳其大片子,2天前·黑龙江,0.004967330147750637,无意向,黑龙江,2023-05-03 22:22:11
503,@Miss Cher,0,瞎溜达,2小时前·重庆,0.4737672181921908,无意向,重庆,2023-05-05 20:22:11
502,这车抖音车评人都在广而告之。,1,重庆开州,3天前·IP未知,0.07426636335500014,无意向,IP未知,2023-05-02 22:22:11
455,猴哥帮我看下这台车下地多少钱,2,卓先生,3天前·广东,0.3329852145469435,无意向,广东,2023-05-02 22:22:11
456,哥斯拉无视延迟,0,白马顺风车,3天前·广东,0.11242854901069099,无意向,广东,2023-05-02 22:22:11
459,3天前·广东,0,happy天晴,3天前·广东,0.430449644423182,无意向,广东,2023-05-02 22:22:11
460,一切都很满意，但，只差钱,1,brucechen,3天前·广东,0.16981525915417628,无意向,广东,2023-05-02 22:22:11
461,就为了买这个灯么,1,张永清｜德美密胺（芯片餐具）,3天前·广东,0.2650635501720523,无意向,广东,2023-05-02 22:22:11
462,说吧 多少钱,0,77…,3天前·广东,0.19748243176012326,无意向,广东,2023-05-02 22:22:11
463,这车超35万卖不了几台,0,姜太公,3天前·广东,0.4528762274620136,无意向,广东,2023-05-02 22:22:11
464,有30以上预算买车不如合伙订购私人飞机/因飞机平民化离现实不远了,1,玥儿,3天前·广东,0.32805745743188175,无意向,广东,2023-05-02 22:22:11
397,我原来还看到过一辆沃尔沃上有睫毛刷刷，是什么型号忘了，应该是一辆轿车！,1,猴子请来的逗逼,3天前·重庆,0.02482113400815189,无意向,重庆,2023-05-02 22:22:11
386,衣服好洗一下了,0,勇爺,4天前·上海,0.3573911935654377,无意向,上海,2023-05-01 22:22:11
384,4天前·云南,0,烟树,4天前·云南,0.49724553828075757,无意向,云南,2023-05-01 22:22:11
383,4天前·内蒙古,0,老刘,4天前·内蒙古,0.4518151243526525,无意向,内蒙古,2023-05-01 22:22:11
465,沃尔沃就是屏幕不行,0,大哥大姐,3天前·广东,0.22927617100180098,无意向,广东,2023-05-02 22:22:11
466,EX90，我的下一辆车,1,幸福人,3天前·山西,0.32924529254629864,无意向,山西,2023-05-02 22:22:11
380,4天前·四川,0,李先生,4天前·四川,0.2228053714865551,无意向,四川,2023-05-01 22:22:11
379,琪琪倪海杉助理，进库里南展厅了，快去找她,6,P城本地人,4天前·安徽,0.350530575404872,无意向,安徽,2023-05-01 22:22:11
378,猴哥关注您很久了，最近想购买一辆车，不知道您有没有时间帮忙看看，我就在您隔壁的城市马鞍山。感谢。希望可以看见您的回复。,0,点点,4天前·安徽,0.3051975344337712,无意向,安徽,2023-05-01 22:22:11
376,这价格，高于XC90顶配吧估计得,0,一看就是老半仙了,4天前·山东,0.33603003333043446,无意向,山东,2023-05-01 22:22:11
385,4天前·上海,8,没风靠浪,4天前·上海,0.4081992048749735,无意向,上海,2023-05-01 22:22:11
399,电车我只选比亚迪，不要问我为什么？？,1,蓝天用户2371761127658,3天前·重庆,0.3980124551245736,无意向,重庆,2023-05-02 22:22:11
452,这会眨眼加了直接多出20W,0,一定是特别的猿粪,3天前·广西,0.4363521383530259,无意向,广西,2023-05-02 22:22:11
451,买不起，为啥推荐呢,2,宁静,3天前·新疆,0.025192239909239134,无意向,新疆,2023-05-02 22:22:11
430,越来越高级的车,1,救恩永久,3天前·河北,0.3919543694997688,无意向,河北,2023-05-02 22:22:11
427,配件可不便宜,0,雨过天晴！,3天前·河南,0.4005857212089836,无意向,河南,2023-05-02 22:22:11
426,羊绒座椅？夏天不开空调屁股疯狂补水,1,茧.工作室,3天前·河南,0.05351359657654853,无意向,河南,2023-05-02 22:22:11
425,如果是油车，估计不用做广告都卖的可火,1,木子二车,3天前·河南,0.14397349861315856,无意向,河南,2023-05-02 22:22:11
424,价格和特斯拉有一拼了,0,大象爸爸,3天前·河南,0.39334001723290424,无意向,河南,2023-05-02 22:22:11
422,@￥￥￥七彩纺羊绒王阔￥￥,0,七彩纺羊绒－@小崔总,3天前·浙江,0.37165162461671686,无意向,浙江,2023-05-02 22:22:11
439,说的我好像不会眨眼似的,1,虔城阿三勾,3天前·江西,0.11084757966460757,无意向,江西,2023-05-02 22:22:11
441,猴哥40个预算可以拿X5吗？,1,江西宜春二手车批发,3天前·江西,0.3193887020826809,无意向,江西,2023-05-02 22:22:11
416,看起来还是林肯飞行家高级点,1,至秦,3天前·浙江,0.4017584597649325,无意向,浙江,2023-05-02 22:22:11
444,啥车在你旁边都感觉小,1,好运2023,3天前·江苏,0.49880424356930586,无意向,江苏,2023-05-02 22:22:11
445,说一期徐州烧烤！！！作为徐州人,1,孔令怀,3天前·江苏,0.4951284951169561,无意向,江苏,2023-05-02 22:22:11
412,保底跑多少公里？,1,戰,3天前·湖北,0.40844490708468306,无意向,湖北,2023-05-02 22:22:11
411,我突然发现，这些人推的车没一台能走量的。所以我选了五夌，我只配那车,1,凯雯米滴,3天前·湖北,0.1300498980791489,无意向,湖北,2023-05-02 22:22:11
447,小腾为啥每次跑前面,1,时间,3天前·江苏,0.08034037651675363,无意向,江苏,2023-05-02 22:22:11
409,豪车就是豪车,0,雪梅书单,3天前·湖南,0.4737672181921908,无意向,湖南,2023-05-02 22:22:11
408,后备箱不大吧,2,熹翾_,3天前·甘肃,0.06705147922208521,无意向,甘肃,2023-05-02 22:22:11
405,眨眼？见过跃动冲锋吗？,0,浮云敝白日,3天前·福建,0.25004458572427835,无意向,福建,2023-05-02 22:22:11
404,纯电，有钱特斯拉，没钱比亚迪。60几万让我买这玩意儿,0,宫,3天前·辽宁,0.0767060261817839,无意向,辽宁,2023-05-02 22:22:11
450,估计要7-8W,0,ZIZUODUOQING,3天前·柬埔寨,0.34757624653206276,无意向,柬埔寨,2023-05-02 22:22:11
375,好像传祺GS8就是眨眼的,1,酒量很糟,4天前·山东,0.35781425830293645,无意向,山东,2023-05-01 22:22:11
468,2030年成为纯电豪华车企，意味着所有车型全部电动化，这可是走在所有传统车企前列了,1,梦幻西游,3天前·山西,0.23859053665475538,无意向,山西,2023-05-02 22:22:11
470,3天前·山西,0,海亮电瓶销售点,3天前·山西,0.430449644423182,无意向,山西,2023-05-02 22:22:11
371,4天前·山西,0,专业石膏线,4天前·山西,0.4518151243526507,无意向,山西,2023-05-01 22:22:11
338,从一次好多钱,0,一坨,4天前·重庆,0.28996923168447897,无意向,重庆,2023-05-01 22:22:11
337,就怕两百米探测到的不是人,0,深夜一根烟,4天前·重庆,0.4798336788119435,无意向,重庆,2023-05-01 22:22:11
492,3天前·北京,0,用户1377188006893,3天前·北京,0.4669962211280444,无意向,北京,2023-05-02 22:22:11
334,猴哥你好，他们叫我来问一下你，可不可以把阿张介绍给我,0,财源推文,4小时前·山东,0.374403445941613,无意向,山东,2023-05-05 18:22:11
333,告诉我多少，让我死心,0,迷人小黎窝.,4小时前·广东,0.26952662469470656,无意向,广东,2023-05-05 18:22:11
332,羊绒座椅是不是可以光屁股开,0,无为,4小时前·河北,0.13926887828480772,无意向,河北,2023-05-05 18:22:11
331,上海车展有吧,1,用户7552133463381,5天前·IP未知,0.42495927671245237,无意向,IP未知,2023-04-30 22:22:11
330,后面电车布局会比汽油车的消费更高 充电越来越贵 换电瓶可以选3万的5万的10万的 充电有30分钟充满100 20分钟充满200十分钟充满300一次 不选贵的让你不敢开车出门,2,俊哥,5天前·上海,0.2629612069530469,无意向,上海,2023-04-30 22:22:11
325,这次沃尔沃推广费花不少,2,海鷗的天空,5天前·上海,0.38773324088919425,无意向,上海,2023-04-30 22:22:11
324,这车抖音车评人都在广而告之。,51,锦龍,5天前·上海,0.07426636335500014,无意向,上海,2023-04-30 22:22:11
323,这种座椅两年不就发黑了么还不好清洗，容易滋生细菌,19,领衔,5天前·上海,0.004899138131805425,无意向,上海,2023-04-30 22:22:11
321,超过50万就难了,6,维达,5天前·上海,0.375580674093272,无意向,上海,2023-04-30 22:22:11
319,这要多闪几下灯那眼皮眨得过来么,2,抖嘛,5天前·云南,0.2097084643809901,无意向,云南,2023-04-30 22:22:11
499,猴哥能帮我弄一辆两三万自动挡的日系二手车吗！,4,逝去的青春,3天前·上海,0.11588856967935102,无意向,上海,2023-05-02 22:22:11
317,谁都不服，我就服你,6,德吉梅朵,5天前·云南,0.0558194842506341,无意向,云南,2023-04-30 22:22:11
315,有没有油电混动的？,5,庄莫,5天前·云南,0.2126277308011001,无意向,云南,2023-04-30 22:22:11
314,刚看完震哥，八戒，又刷到猴哥,2,小马哥19732,5天前·内蒙古,0.05573724977107375,无意向,内蒙古,2023-04-30 22:22:11
313,刚看完震哥，八戒，又刷到猴哥,2,六个点好物,5天前·内蒙古,0.05573724977107375,无意向,内蒙古,2023-04-30 22:22:11
501,拍摄现场看见你了,0,遇见花卉,3天前·上海,0.3984200482364991,无意向,上海,2023-05-02 22:22:11
341,60 90换这个尾灯我绝对买,1,一如既往,4天前·贵州,0.0027763036480612513,无意向,贵州,2023-05-01 22:22:11
574,30万能买到不？,1,何老师,1天前·河南,0.39120151485646526,无意向,河南,2023-05-04 22:22:11
343,多少钱,0,逆风飞,4天前·福建,0.2991169977924947,无意向,福建,2023-05-01 22:22:11
346,我靠！这两天沃尔沃投了多少流量,0,晓龙,4天前·湖北,0.07464061010745182,无意向,湖北,2023-05-01 22:22:11
471,红旗H9最帅车灯，没有之一。,1,DNF——狼王,3天前·山东,0.26256298925749155,无意向,山东,2023-05-02 22:22:11
368,听说上海车展进不去,0,.....,4天前·广东,0.18003981096706567,无意向,广东,2023-05-01 22:22:11
367,充值说车毫无意义,1,野孩子.,4天前·广东,0.2861652988368305,无意向,广东,2023-05-01 22:22:11
473,沃尔沃是要把所有抖音说车的骗子都买一遍吗,0,曾经绿花之树,3天前·山东,0.2100701667259538,无意向,山东,2023-05-02 22:22:11
474,你是不是感觉我能买得起？,1,华大大,3天前·山东,0.3737286362182801,无意向,山东,2023-05-02 22:22:11
475,你到底来不来淄博吃烧烤，我一直在等你,2,秀客私人订制美发会所,3天前·山东,0.02730359995004128,无意向,山东,2023-05-02 22:22:11
363,这车灯直接凯迪拉克，演都不演了,1,抓得住风吗,4天前·广东,0.48913353690883987,无意向,广东,2023-05-01 22:22:11
477,估计得六十以上,1,蓝魂幽梦,3天前·山东,0.4153168990754269,无意向,山东,2023-05-02 22:22:11
360,猴哥想买车，有没有推荐的,1,遗忘的美好,4天前·江苏,0.49136628742985156,无意向,江苏,2023-05-01 22:22:11
478,多少钱,2,王尚飞,3天前·山东,0.2991169977924947,无意向,山东,2023-05-02 22:22:11
479,为啥看着这么显小呢,0,济南智诚电脑,3天前·山东,0.16795391633957568,无意向,山东,2023-05-02 22:22:11
357,续航为啥不说？,1,和尚洗头用飘柔123,4天前·江苏,0.05895327838060549,无意向,江苏,2023-05-01 22:22:11
481,@志翔优选二手车,1,周可儿萌萌哒,3天前·山东,0.34115662599739793,无意向,山东,2023-05-02 22:22:11
354,劳斯莱斯展馆进不去,8,真石漆,4天前·河南,0.17832377036105584,无意向,河南,2023-05-01 22:22:11
483,得多少钱啊？可得好好几万块钱？,2,老五,3天前·安徽,0.11928806498139655,无意向,安徽,2023-05-02 22:22:11
350,劳斯莱斯能不能进去,1,浩,4天前·浙江,0.06077365429238668,无意向,浙江,2023-05-01 22:22:11
349,4天前·海南,0,中国教练，专业驾校，快速拿证,4天前·海南,0.3820109212349496,无意向,海南,2023-05-01 22:22:11
485,纸老虎,0,鸬鹚,3天前·天津,0.3784894766792528,无意向,天津,2023-05-02 22:22:11
347,白天前大灯能正常闪吗？,0,谦子,4天前·湖北,0.12686284063435338,无意向,湖北,2023-05-01 22:22:11
486,厉害了,0,途虎养车环溪二路店,3天前·四川,0.35964912280701733,无意向,四川,2023-05-02 22:22:11
576,是多少钱啊？,0,@一切随缘@,1天前·河南,0.2991169977924947,无意向,河南,2023-05-04 22:22:11
433,我靠，无论大小说车网红，都再说沃尔沃，这是花了多少广告费啊,0,茕茕孑立,3天前·河北,0.1864440903250647,无意向,河北,2023-05-02 22:22:11
27,师徒四人，怎么天天就看见你了？,2,悦悦吖,6天前·湖北,0.2823942464217476,无意向,湖北,2023-04-29 22:22:11
34,看了虎哥又看猴哥 感觉没啥意思,2,凌晨,6天前·浙江,0.4828126276316195,无意向,浙江,2023-04-29 22:22:11
109,广告费这力度真大,2,精气神儿,5天前·辽宁,0.09431056342624533,无意向,辽宁,2023-04-30 22:22:11
108,看看就行了，买不起,2,·L·,5天前·辽宁,0.2679780809637988,无意向,辽宁,2023-04-30 22:22:11
35,这么好得车违章扣分不,2,@骑在狼上的杨,6天前·河南,0.003117792834025246,无意向,河南,2023-04-29 22:22:11
608,保养时候是不是得买点牙膏 一管肯定不够用,1,Oo???,1天前·北京,0.4559513691598276,无意向,北京,2023-05-04 22:22:11
105,我只能说沃尔沃没少充值啊，猴，晨，还有那个女的和那个都捧，我到底买不买,5,哈哈一笑很倾城,5天前·辽宁,0.160359095806603,无意向,辽宁,2023-04-30 22:22:11
104,2023上海国际车展，猴哥你好，他们叫我来问一下你，可不可以把阿张介绍给我,2,辉姐饰品,5天前·重庆,0.236618009148721,无意向,重庆,2023-04-30 22:22:11
103,5天前·重庆,2,皮卡丘 皮卡皮卡~,5天前·重庆,0.48155748241917185,无意向,重庆,2023-04-30 22:22:11
609,下来多少钱？,0,石同学,1天前·北京,0.2991169977924947,无意向,北京,2023-05-04 22:22:11
101,羊绒坐起不热吗？,2,BOB,5天前·重庆,0.04698391306208605,无意向,重庆,2023-04-30 22:22:11
36,6天前·河南,2,淑贞,6天前·河南,0.24126781173192668,无意向,河南,2023-04-29 22:22:11
99,猴哥你好，他们叫我来问一下你，可不可以把阿张介绍给我,7,众善奉行,5天前·重庆,0.374403445941613,无意向,重庆,2023-04-30 22:22:11
611,1天前·北京,0,淡云阁雨,1天前·北京,0.3994755535410165,无意向,北京,2023-05-04 22:22:11
97,那以后xc90是不是不更新了,2,太阳当空照-Rocky,5天前·陕西,0.10563174812173137,无意向,陕西,2023-04-30 22:22:11
96,油改电吧,2,世人皆过客,5天前·陕西,0.23589347368714486,无意向,陕西,2023-04-30 22:22:11
606,不要乱说，首款纯电车型？我可是沃尔沃供应商,0,瞌睡的毛毛,1天前·四川,0.20690361463208296,无意向,四川,2023-05-04 22:22:11
638,刚买了三十万辆，猜猜做啥用,0,紫光阁主人,13小时前·浙江,0.03916066922295669,无意向,浙江,2023-05-05 09:22:11
33,跟领克08一样,2,浙江省绍兴市欣淏通风设备有限公司,6天前·浙江,0.34622920705282745,无意向,浙江,2023-04-29 22:22:11
111,怎么Volvo EX90怎么全喊网红打广告了,9,AIBW,5天前·贵州,0.28686901294537814,无意向,贵州,2023-04-30 22:22:11
125,沃尔沃EX90国内首发 ，我看了几个视频了，没人说续航的,6,浩浩宝藏屋.罗,5天前·湖南,0.3339131491596655,无意向,湖南,2023-04-30 22:22:11
26,你要不小心碰到一个大灯，换一个大灯，能要你的小命,2,文艺亮(?ω?),6天前·湖北,0.003298643802128076,无意向,湖北,2023-04-29 22:22:11
62,沃尔沃这台车全网车评人都充值了吧，每个车评人都在猛推,2,没有人是多余的,6天前·广东,0.1278639628115853,无意向,广东,2023-04-29 22:22:11
122,刚刚八戒介绍完了,2,开心，快乐每一天。,5天前·甘肃,0.49863204257899185,无意向,甘肃,2023-04-30 22:22:11
121,刷没十分钟抖音，就推了三个这个车的视频,2,喂，蔡不透嗎?,5天前·福建,0.0035591337491266417,无意向,福建,2023-04-30 22:22:11
28,我90年的、开的奔驰E300L顶配的，目前两套房子，4间铺面。我老婆66岁，女儿比我大3岁,2,利隆涂料有限公司,6天前·海南,0.06955684900680692,无意向,海南,2023-04-29 22:22:11
600,比亚迪，你选择了就不会后悔,1,@正在输入…………,1天前·山东,0.17080278193577814,无意向,山东,2023-05-04 22:22:11
601,后屁股跟我胜达一样,0,启晨,1天前·山东,0.2083465576729323,无意向,山东,2023-05-04 22:22:11
29,猴哥，虎哥，八戒，三大说车博主一起发布了沃尔沃ex90，沃尔沃这是下血本了,384,小情绪，,6天前·浙江,0.11868874469618773,无意向,浙江,2023-04-29 22:22:11
30,XC90五十万，EX90会低于50万吗?,7,啊春,6天前·浙江,0.1352630875353863,无意向,浙江,2023-04-29 22:22:11
