评论,点赞数,用户名,评论时间和ip地址
今天至少有十个以上的说车博主同时发了这个沃尔沃ex90！！沃尔沃推广费真是下血本了,7,毅宝乀,6天前·安徽
奔驰，宝马。奥迪都卖不动电动车。沃尔沃能卖的动？？？？,1,梁子,6天前·安徽
电车首先比亚迪,2,腾达农场,6天前·安徽
沃尔沃这波充值不少啊，几乎所有的网红车评人都在吹嘘………………,2,源,6天前·宁夏
6天前·天津,2,爱上雨声,6天前·天津
劳资发觉啥车你都说好，说的天花乱坠的,25,『阿文』,6天前·四川
这期沃尔沃充值太明显了吧,8,浩有道,6天前·四川
说实在的，你作为一个挺知名的说车人，不管啥车你都说好，真的很跌价,2,陈老大,6天前·四川
充值到位了，鸡公车都给给你吹出一朵花来,2,小蚂蚁318,6天前·四川
价格9w多英镑，人民币80万左右，实际可能售价100万，花这么多钱买它？,2,马到成功,6天前·四川
6天前·吉林,1,中华226,6天前·吉林
排第一的，还得是小腾,18,Mr.Moo,6天前·北京
沃尔沃用料良心,1,老杨,6天前·北京
八戒说车是你嘛？,1,IT陈,6天前·北京
高于38万肯定凉 低于38万蔚来凉！,37,坏掉的充电桩,6天前·北京
虎哥8千点赞了,2,狄氏,6天前·内蒙古
俺还是喜欢S60,2,难得湖涂,6天前·上海
推荐越多越不能买,1,小秋,5小时前·福建
一个灯有啥,0,刘杨,5小时前·湖南
你推荐的我都好喜欢 可是…,0,小鱼好物,5小时前·湖北
又款好车实用,5,龍,5天前·黑龙江
电车我只选比亚迪，不要问我为什么,2,滴滴哒,5天前·黑龙江
帅哥早上好，这样的广告真的是播讲的好把车子的外观讲的真实看到你的广告限想买这车，特前是你讲的内配好材质好喜欢的,2,迟淑华,5天前·黑龙江
贵~,71,AndyBeck阔,5天前·陕西
5天前·陕西,2,余豆豆???,5天前·陕西
真厉害,2,何大壮,5天前·陕西
油改电吧,2,世人皆过客,5天前·陕西
那以后xc90是不是不更新了,2,太阳当空照-Rocky,5天前·陕西
这么好的车猴哥已经提了一辆,5,叶子来了,5天前·重庆
猴哥你好，他们叫我来问一下你，可不可以把阿张介绍给我,7,众善奉行,5天前·重庆
高端大汽上档次、沃尔?豪车、外观设计完美、帅气十足、动力强劲,405,畅畅,5天前·重庆
羊绒坐起不热吗？,2,BOB,5天前·重庆
电动车看雅迪,2,聆听风雨,5天前·重庆
5天前·重庆,2,皮卡丘 皮卡皮卡~,5天前·重庆
2023上海国际车展，猴哥你好，他们叫我来问一下你，可不可以把阿张介绍给我,2,辉姐饰品,5天前·重庆
我只能说沃尔沃没少充值啊，猴，晨，还有那个女的和那个都捧，我到底买不买,5,哈哈一笑很倾城,5天前·辽宁
好好好好,19,小橙汁,5天前·辽宁
说完价格 买一台给爱人,5,Kobayashi,5天前·辽宁
看看就行了，买不起,2,·L·,5天前·辽宁
广告费这力度真大,2,精气神儿,5天前·辽宁
买两台给我家娃娃玩,2,爱唱歌的娃娃,5天前·辽宁
怎么Volvo EX90怎么全喊网红打广告了,9,AIBW,5天前·贵州
羊绒的夏天热吗,6,南笙浅梦(九亿),5天前·贵州
为什么不做油电混动的,2,陈Cc,5天前·贵州
大數據太可怕了！連續刷到四個同部車的視頻。。。,5,Mr Veggies,5天前·美国
@,6,不在乎天长地久，只在乎拥有,5天前·福建
我什么实力，为什么会刷到这种车,6,爱车的小庄,5天前·福建
好有科技感,2,纸上的彩虹,5天前·福建
这不是吉利几何吗？,2,11111,5天前·福建
贵的一大步,2,忠爱一生,5天前·福建
支持国货，买车就买比亚迪。,2,梅香正浓,5天前·福建
刷没十分钟抖音，就推了三个这个车的视频,2,喂，蔡不透嗎?,5天前·福建
刚刚八戒介绍完了,2,开心，快乐每一天。,5天前·甘肃
同城让我们相遇…,2,指微凉,5天前·甘肃
5天前·湖南,3,吃草的孺子牛,5天前·湖南
沃尔沃EX90国内首发 ，我看了几个视频了，没人说续航的,6,浩浩宝藏屋.罗,5天前·湖南
是不是点评了沃尔沃EX90的车评人才算一线车评人！,5,那么强,5天前·湖南
终极小腾第一个开箱的,13,Love Yourself,5天前·湖南
一台50万推广[灵光一闪],2,奶味小萌车品,5天前·湖南
5天前·湖南,2,晓红,5天前·湖南
刚看完震哥，八戒，又刷到猴哥,0,千千益益好物,5天前·湖北
在比亚迪面前咋样,1,专业装修沙，砖水泥，出垃圾,5天前·湖北
经理也带推广了,7,爱尚YEBX,5天前·湖北
上时候能上这款车的碰撞测试,8,Shawn,5天前·湖北
别的不说，后排座椅又矮又短的毛病改了没有？,30,挥手,5天前·湖北
眼不眨了，就可以卖车啦,2,周游世界,5天前·湖北
外观可以,2,久玩成瘾,5天前·湖北
就问W卖不卖,2,丈母娘指定地板大咖,5天前·湖北
猴哥你好，他们叫我来问一下你，可不可以把阿张介绍给我,2,娜姐不淑女,5天前·湖北
猴哥介绍一下多少钱撒,2,胡勇,5天前·湖北
35w,2,琨哥汉普聊房房产咨询,5天前·湖北
刚看完震哥，八戒，又刷到猴哥,2,惹不起的酸菜鱼,5天前·湖北
感觉作为一台出行用的车而言，这种眨眼睛的功能就像脱了裤子放屁，多此一举。,41,我去,5天前·浙江
电车届，一众豪华品牌都是杂牌，但我为啥觉得沃尔沃可信,7,大鼻子,5天前·浙江
我们都没关注啊，广告就广告么,6,明波,5天前·浙江
能给我整一辆五六千块钱的车又有面子吗？,5,集成吊顶安装,5天前·浙江
娶个富婆也出来工作，可以,8,痞子蔡,5天前·浙江
这是下了血本了，都是说这辆车,6,辜负自己,5天前·浙江
可不可以理解为买沃尔沃的都相对怕死一点，我是说相对,16,『君義』,5天前·浙江
沃尔沃ex90，沃尔沃这是下血本了,6,波波爱追剧,5天前·浙江
价格大概在多少？,2,（叫我啊文吧！）,5天前·浙江
说个价格让我死心,2,桐子湾～老腊肉,5天前·浙江
不好看！虽,2,易加模型（专注四/五轴电极）,5天前·浙江
他的车空间问题太大，浪费尺寸。。。,36,李一,5天前·河南
猴哥好像你介绍的车没有，不好的都好,30,小鹏,5天前·河南
买不起,5,杜记胖孩烧烤,5天前·河南
不是眨眼，是咬牙,6,用户9405379079778,5天前·河南
昨天我都看到你说这个车,6,?杯中烈酒??敬余生???,5天前·河南
拉黑过的为啥还给推？？,8,阿拉蕾,5天前·河南
所有的车评人都在说它,79,沉鸣,5天前·河南
五块钱能不能买？,5,A、,5天前·河南
电车不应该主要介绍一下三电系统吗？多少度？续航多少？一无所知,5,勇往～直前,5天前·河南
认识你是一种缘分,2,许昌解放路栗不了孙俊霞,5天前·河南
这个车，今天刷屏了，看来充值了不少钱,2,万信皮尺，不锈钢管,5天前·河南
你就说修起来是不是更特别,2,新时代泥石流,5天前·河南
有啥用吗,2,勿忘我,5天前·河南
看看ds的灯,2,这首歌是这样唱的,5天前·河南
这款车有没有油车,2,Jcaabbcc,5天前·河南
沃尔沃汽车，安全第一,2,毛豆爸,5天前·河南
广告费，最终都转加到买这车的客户,2,145725363,5天前·河南
怎么没介绍一下沃尔沃的安全性,2,冷漠,5天前·河南
强烈推存沃尔沃出一款沃操商务车,2,我有个好老板,5天前·河南
猴哥，虎哥，八戒，三大说车博主一起发布了沃尔沃ex90，沃尔沃这是下血本了,3,逆流而上，顶风前行,5天前·河北
沃尔沃开窍了，知道做广告了,3,隔壁你王叔,5天前·河北
电车我只选比亚迪，不要问我为什么,7,@王家小院,5天前·河北
我家现在xc60 告诉我多少钱 让我死心,7,吃de,5天前·河北
看起来这车说的挺好，真象你说的哪么好吗,5,xX好物推荐(视频同款在橱窗),5天前·河北
我也想有一辆,2,陈陈好物,5天前·河北
轮毂好看,2,夹子驴,5天前·河北
五万？,2,一朋,5天前·河北
只有比亚迪,2,向阳而生,5天前·河北
沃尔沃最近下血本了 都在推这款车,2,一只见过冬季的夏季虫?,5天前·河北
电车我只选比亚迪，不要问我为什么,2,gekiss,5天前·河北
他是我听到介绍的最模糊的一个,2,合欢.,5天前·河北
像动物园说车拍一个这样的宣传视频能得到多少钱？哪位知道的给我解解惑,2,抖音一号,5天前·江西
是不是每个车评主播都要过一遍这个车？,6,向往~生活,5天前·江西
眨眼只认这个,119,Alu,5天前·江苏
电车只有特斯拉跟其他,22,肖哥来咯,5天前·江苏
虎哥豆豆都拍了,5,哈喽哇,5天前·江苏
终极小腾直接开箱撕膜,1,顾十二,5天前·江苏
可惜是电车,40,Benson,5天前·江苏
没钱。,6,宿命，是天注定,5天前·江苏
预测多少钱,10,Dor. Zh,5天前·江苏
直接说价格.高于20万不考虑,15,南瓜一枚,5天前·江苏
沃尔沃，世界上最安全的车,406,爱军,5天前·江苏
这车多少钱,2,杏林居,5天前·江苏
我的GS8也会呀,2,午夜穿梭,5天前·江苏
十万左右我可以考虑弄一台,2,漂泊,5天前·江苏
宝马3x电动的落地30都不用 卖的都不好 沃尔沃也来吹牛 虽然我挺喜欢沃尔沃的,2,坦克,5天前·江苏
5天前·江苏,2,大海罗，,5天前·江苏
看着不错的样子,2,珍惜现在,5天前·江苏
车是好车但是看着这车外观啊 总觉得某些地方真的有点丑,69,D `,5天前·新疆
以前有人总问百公里油耗多少，每公里达到几毛钱？现在有没有人问百公里多少度电，每公里几毛钱,5,小马哥回族,5天前·新疆
换一个标，就是星越L,23,汇家厨房,5天前·新疆
@终极小腾 哥，你就说你是不是一手,6,-,5天前·新疆
咋感觉这个车比XC90小呢,7,MR.D,5天前·新疆
我看了几个视频了，没人说续航的,9,甜心格格,5天前·广西
选择沃尔沃，只有一个理由，就是喜欢！正在努力,6,六月的夏天,5天前·广西
沃尔沃有保姆车吗 如果有安全性应该是最好的,2,哦豁仔,5天前·广西
最不喜欢就是沃尔沃的尾灯设计难看,2,认真你就输楽,5天前·广西
忙完了再说,2,音响传媒,5天前·广西
你们是排队进去拍车的么,2,撸炉掳鹿卤小鹿,5天前·广西
很吉利,2,谭心,5天前·广西
现在沃尔沃也把大彩电放车里了,3,@????????劉?????,5天前·广东
刚刷虎哥，又刷猴哥,0,清枫里,5天前·广东
现在的电车，越看越像玩具车[吻],6,悦悦国潮优选,5天前·广东
预估90个W,9,青 龍,5天前·广东
如要买车必买比亚迪,8,晖晖好物,5天前·广东
沃尔沃前车标，几时能改款，不要那条安全带就好了,5,【隔壁老王】,5天前·广东
喷子会说油改电，因为它是传统品牌,26,做翡翠的虎哥,5天前·广东
我看全网车评人都在推，定价30万，性价比应该很高,11,永不后退，，′,5天前·广东
作品拍得不错,2,42446203696,5天前·广东
电车我只选比亚迪，不要问我为什么,2,柠柠带你吃喝玩乐,5天前·广东
钢筋也是环保材质的,2,Empty.,5天前·广东
虎哥拍完猴哥拍，猴哥拍完小刚，小刚拍完学好姐拍，学好姐拍完，八戒拍，八戒拍完。。。。。。有请下一位,2,不快乐的肥宅丶,5天前·广东
高槁没买,2,甜甜优选&,5天前·广东
不看车标以为是吉利,2,劲歌仔,5天前·广东
这款车大气漂亮,2,漂泊在外面打工,5天前·广东
这座椅,2,马克斯l,5天前·广东
虎哥比较早说这车,2,小白精选好物,5天前·广东
5天前·广东,2,迷失芳香,5天前·广东
像20年前的概念车,2,口说无凭君-大圣,5天前·广东
有六座吗,2,我叫一哈哈,5天前·广东
牛哥说的比较专业。有技术性,2,朴草,5天前·广东
是4S店的常客！真的！,2,凡事靠自己,5天前·广东
@,2,壹个人挺好,5天前·广东
好大气的车呀,2,宝藏少女车饰,5天前·广东
同一个场景，这些人排队介绍，看腻了,2,打哈欠的猫娃子,5天前·广东
反正船机我还是始终相信油的,2,海岛二牛,5天前·广东
要搞就搞成真正的,2,??.??吴哥??,5天前·广东
这个品牌广东话怎么读,2,杠精来了！！你惨了,5天前·广东
高端大气上档次,3,徐...,5天前·山西
10万块可以考虑,11,扬帆起航,5天前·山西
沃尔沃这波广告，基本上把抖音上所有的汽车博主都覆盖了,3,柴李成粥,5天前·山西
沃尔玛下血本了，充了不少钱吧,2,牛蛋蛋,5天前·山西
我已经不相信沃尔沃的刹车系统了,14,前程似锦,5天前·山东
帅呆了,3,黄河,5天前·山东
我想听价格，我买车，价格是第一位,9,菜菜菜菜,5天前·山东
再大的车停你边上也不显大,7,因、果,5天前·山东
沃尔沃汽车大品牌，值得信赖，支持国货,8,无奈,5天前·山东
终极小腾说价格比了个七，可能七十,2,辣椒炒肉,5天前·山东
豪华、时尚、大气,6,难忘的岁月,5天前·山东
侯哥讲一下他的最亮亮点和他的最优惠的价值,5,金金甄选,5天前·山东
值得拥有的车,6,用户626014038988,5天前·山东
竖屏不好看,6,漫步.青岛,5天前·山东
续航和价格咋没人说,7,快乐小先生,5天前·山东
沃尔沃不该把蓝色车标改成黑色的,5,JFeng,5天前·山东
看着挺不错,6,聂小倩,5天前·山东
沃尔沃，世界上最安全的车,408,追求完美,5天前·山东
为啥沃尔沃哪款车型都不低于20w,2,今天不想上班,5天前·山东
这个场景。。区长刚拍完,2,Vincent,5天前·山东
沃尔沃终于开窍了,2,吖吖暴富呀,5天前·山东
还有区长竟然也被充值了。,2,LRC.,5天前·山东
要是6座就完美了,2,凯风自南?,5天前·山东
我不关注，我肯定买不起,2,天涯海角有穷时,5天前·山东
只要路上还有一个加油站，这辈子都不会买电车,6,关羽开飞机,5天前·安徽
车做的再好也没用，关键是价格亲民，才是王道，别的都是在耍流氓,7,大海44652611,5天前·安徽
还是得看掏钥匙 开箱那位,8,kkkkkkkr,5天前·安徽
功能越多越容易出毛病,6,朱伯君,5天前·安徽
这是什么,5,抖音真,5天前·安徽
海外低配六十多，囯内是不是上百了,5,S you,5天前·安徽
这多少钱,5,不爱说真话的彭先生,5天前·安徽
猴哥你迟到了，我去年都在车世纪看过了,6,海绵宝宝,5天前·安徽
外观真不咋地,5,小李胡,5天前·安徽
电瓶车比亚迪好骑。,2,宝贝短剧,5天前·安徽
沃尔沃EX90国内首发 ，猴哥你好，他们叫我来问一下你，可不可以把阿张介绍给我,2,汤圆媽媽,5天前·安徽
多少钱,2,S you,5天前·安徽
不错,2,三宝好物68,5天前·安徽
它喝几号油,2,晨光,5天前·安徽
这不是眼这是牙,8,游龙,5天前·天津
汽车大v陆续沦陷看到第四个了……,2,爱的交响曲,5天前·天津
对对对,3,史蒂芬-尼古拉斯-杰,5天前·四川
在怎么看都没比亚迪好看,7,杰克,5天前·四川
怎么感觉有点吉利车的影子？,5,科行天下1,5天前·四川
这车估计得2万多吧,5,戒掉了你,5天前·四川
5天前·四川,12,比亚迪那么赚钱，给员工工资很低，我们要多支持比亚迪,5天前·四川
我想要,2,不晓得,5天前·四川
5天前·四川,2,雍王爷,5天前·四川
续航多少,2,冰清玉洁,5天前·四川
5天前·四川,2,有多少爱可以重来,5天前·四川
有一个车评人说的识别600米外，你说250米,2,，,5天前·四川
共同努力奋斗加油,2,松鼠 影视,5天前·四川
发布日开始，全网车评人都在赞这车。这波营销，烧钱呀,2,彩钢板.耐力板.,5天前·四川
沃尔沃这次公关做到位了,2,合理伪装,5天前·四川
说车不说价点赞少一半,5,胖胖的稣然,5天前·吉林
漂亮值得拥有,5,稳步前进,5天前·吉林
同一个地方不同博主,17,WQH,5天前·吉林
一个场地，全国的车评人都门口排队录像,8,谷宇的谷,5天前·吉林
20万交个朋友行不行,2,山,5天前·吉林
价格,2,老刘,5天前·吉林
我估计 瑞典没有这款电车 瑞典北欧国家冷呀,2,凡星,5天前·吉林
猴哥，有没有白色的阿斯顿马丁Vantage,5,陈林,5天前·北京
续航多少千米？,6,神秘学大师 Mystery Master,5天前·北京
gs8的大灯还是会,6,零,5天前·北京
这么快就不推别克了,2,小朋友你是否有很多问号.,5天前·北京
这车不错。重量也够使,2,新的一天,5天前·北京
这车真,2,大新,5天前·北京
多少米落地,2,文,5天前·北京
都没人说续航问题,2,溪边的松柏,5天前·北京
这车不错,2,王秀琴,5天前·北京
嗯，挺漂亮的，设计的不错，值得拥有。,2,用户7092910223112,5天前·北京
好车高挡,5,dyahsyye9ow9,5天前·内蒙古
电车我只选比亚迪，不要问我为什么,2,丫丫暴富,5天前·内蒙古
刚看完震哥，八戒，又刷到猴哥,2,六个点好物,5天前·内蒙古
刚看完震哥，八戒，又刷到猴哥,2,小马哥19732,5天前·内蒙古
有没有油电混动的？,5,庄莫,5天前·云南
猴哥说说北京BJ40,5,叫我黄哥,5天前·云南
谁都不服，我就服你,6,德吉梅朵,5天前·云南
好漂亮的车子,5,学华,5天前·云南
这要多闪几下灯那眼皮眨得过来么,2,抖嘛,5天前·云南
没有米朵介绍的好,2,风*云,5天前·云南
超过50万就难了,6,维达,5天前·上海
30万想买个烧油车有什么牌子的呀，帮忙介绍一下，不想买电车，用的少,9,用户2982195960736,5天前·上海
这种座椅两年不就发黑了么还不好清洗，容易滋生细菌,19,领衔,5天前·上海
这车抖音车评人都在广而告之。,51,锦龍,5天前·上海
这次沃尔沃推广费花不少,2,海鷗的天空,5天前·上海
这车绝对的高科技满满,2,弹簧,5天前·上海
瘦了好多,2,水猴王,5天前·上海
前几天是非凡。这几天又是这个,2,花火,5天前·上海
买个车，精整些花里胡哨的,2,花火,5天前·上海
后面电车布局会比汽油车的消费更高 充电越来越贵 换电瓶可以选3万的5万的10万的 充电有30分钟充满100 20分钟充满200十分钟充满300一次 不选贵的让你不敢开车出门,2,俊哥,5天前·上海
上海车展有吧,1,用户7552133463381,5天前·IP未知
羊绒座椅是不是可以光屁股开,0,无为,4小时前·河北
告诉我多少，让我死心,0,迷人小黎窝.,4小时前·广东
猴哥你好，他们叫我来问一下你，可不可以把阿张介绍给我,0,财源推文,4小时前·山东
车子看着不错，豪华大气。,0,东云,4小时前·吉林
连座椅都是布的,0,老王,4天前·重庆
就怕两百米探测到的不是人,0,深夜一根烟,4天前·重庆
从一次好多钱,0,一坨,4天前·重庆
92的车一直加95的油有什么危害,0,程伟,4天前·重庆
百万了吧,0,东北李sir,4天前·辽宁
60 90换这个尾灯我绝对买,1,一如既往,4天前·贵州
电车还是国产的好,0,狼图腾,4天前·贵州
多少钱,0,逆风飞,4天前·福建
这车是很好，价格也是很好的,0,tinaye,4天前·福建
挺特别的,0,春哥6108229470559,4天前·湖南
我靠！这两天沃尔沃投了多少流量,0,晓龙,4天前·湖北
白天前大灯能正常闪吗？,0,谦子,4天前·湖北
4天前·湖北,0,春风又绿江南岸,4天前·湖北
4天前·海南,0,中国教练，专业驾校，快速拿证,4天前·海南
劳斯莱斯能不能进去,1,浩,4天前·浙江
这车牛逼，科技感十足,1,在远方的公鸡,4天前·浙江
这个啥价位,0,张跑跑,4天前·浙江
@江西省智障研究院富主任,0,孙兆泽,4天前·浙江
劳斯莱斯展馆进不去,8,真石漆,4天前·河南
@,1,自渡 不忘初心,4天前·河北
不好看,0,洪顺钙业,4天前·江西
续航为啥不说？,1,和尚洗头用飘柔123,4天前·江苏
我冒昧的问您一句徐州人。您真的懂车吗？说错之处请您包含,1,Ｈ,4天前·江苏
看起来不错,0,微,4天前·江苏
猴哥想买车，有没有推荐的,1,遗忘的美好,4天前·江苏
电车绝对不买，换一次电池伤心死人,0,老吴??2?,4天前·广西
[笑][笑][心][心][心][心][心][心][心],0,用户34573350,4天前·广西
这车灯直接凯迪拉克，演都不演了,1,抓得住风吗,4天前·广东
好有科技感的新能源车,0,五大三粗,4天前·广东
要买新能源就要选大品牌、长安、比亚迪等等，，杂牌大众、宝马、沃尔沃等等。,0,上观张,4天前·广东
下次再搞个会流泪的,0,@片尾曲,4天前·广东
充值说车毫无意义,1,野孩子.,4天前·广东
听说上海车展进不去,0,.....,4天前·广东
@脸萌第一人,0,妮子r,4天前·广东
这多少米这个我关心车是爱了,0,没有开过车的司机,4天前·山西
4天前·山西,0,专业石膏线,4天前·山西
满世界车评人都在舔沃尔沃,1,渡,4天前·山东
会眨眼算什么高科技？,0,正一草房,4天前·山东
电池质保吗？东北能开吗,0,酒量很糟,4天前·山东
好像传祺GS8就是眨眼的,1,酒量很糟,4天前·山东
这价格，高于XC90顶配吧估计得,0,一看就是老半仙了,4天前·山东
羊绒的座椅起球不,0,不愿意透漏姓名的赵先生,4天前·山东
猴哥关注您很久了，最近想购买一辆车，不知道您有没有时间帮忙看看，我就在您隔壁的城市马鞍山。感谢。希望可以看见您的回复。,0,点点,4天前·安徽
琪琪倪海杉助理，进库里南展厅了，快去找她,6,P城本地人,4天前·安徽
4天前·四川,0,李先生,4天前·四川
说车还得看终极小腾，直接开箱,3,小小潘,4天前·北京
@路小北,0,二零丨二零,4天前·北京
4天前·内蒙古,0,老刘,4天前·内蒙古
4天前·云南,0,烟树,4天前·云南
4天前·上海,8,没风靠浪,4天前·上海
衣服好洗一下了,0,勇爺,4天前·上海
有幸在工作的时候看到网红,0,没有名字的海,4天前·上海
3小时前·重庆,0,缘分天注定,3小时前·重庆
多少米？,0,柒月,3小时前·河北
3小时前·广西,0,广西北海一老王,3小时前·广西
有什么用,0,生活如此多焦,3小时前·广东
真挺好看的,1,山里人,3天前·黑龙江
现在的潮流就是那个车跟网红挂钩就后怕,1,天王老子,3天前·青海
减肥了,0,微笑乔文龙,3天前·陕西
仰望U8,1,酒,3天前·陕西
我们买车看中的是优点，也想了解了解缺点。可以吗,0,張～震华??,3天前·陕西
我原来还看到过一辆沃尔沃上有睫毛刷刷，是什么型号忘了，应该是一辆轿车！,1,猴子请来的逗逼,3天前·重庆
电车只选特斯拉，不要问我为什么,3,Azmat,3天前·重庆
电车我只选比亚迪，不要问我为什么？？,1,蓝天用户2371761127658,3天前·重庆
中午好，好高端，好大气，值得拥有,1,美,3天前·重庆
猴哥瘦了一百斤,3,抖音红桃A环球之旅,3天前·重庆
，,3,远方的家,3天前·辽宁
这款车真的不错高端大气上档次值得拥有,1,幸福阳光\，7.,3天前·辽宁
纯电，有钱特斯拉，没钱比亚迪。60几万让我买这玩意儿,0,宫,3天前·辽宁
眨眼？见过跃动冲锋吗？,0,浮云敝白日,3天前·福建
中国吉利沃尔沃,0,阿苗,3天前·福建
车标像个海盗独眼罩,1,A福建 巨霸,3天前·福建
后备箱不大吧,2,熹翾_,3天前·甘肃
豪车就是豪车,0,雪梅书单,3天前·湖南
不怎么漂亮,0,啤酒加烟没有明天,3天前·湖南
我突然发现，这些人推的车没一台能走量的。所以我选了五夌，我只配那车,1,凯雯米滴,3天前·湖北
保底跑多少公里？,1,戰,3天前·湖北
说点关键的东西，续航什么的,0,用户9215984414233,3天前·湖北
好车,1,用户9903681645839,3天前·浙江
刹车怎么样？和我的雅迪那个更优秀一点？,1,杭州特斯拉顺风车（八戒）,3天前·浙江
看起来还是林肯飞行家高级点,1,至秦,3天前·浙江
电车只认特斯拉、比亚迪，其它都是杂牌,0,瀟猪猪,3天前·浙江
电车看多不会去看，技术现在还不成熟，,1,花荣月貌,3天前·浙江
80万起，我买它，我笑了,1,欧尼酱,3天前·浙江
@萍萍聚好物,0,cllas-,3天前·浙江
